ID_REF	VALUE
10349184	5.286090479
10349206	4.701308403
10349208	7.099949698
10349233	4.266476759
10349237	4.344263662
10349239	11.0000217
10349249	11.01824685
10349295	6.754887101
10349314	6.034262164
10349316	9.315499662
10349319	7.13124344
10349333	7.140391657
10349340	6.844720952
10349345	6.55108099
10349348	8.044670282
10349376	5.322794534
10349378	5.546073479
10349383	10.71652926
10349401	6.381118325
10349404	8.99613805
10349427	6.414042587
10349429	4.892303101
10349431	4.740354361
10349442	10.58683782
10349453	8.496751657
10349478	13.74873208
10349480	11.0022464
10349510	6.164405767
10349512	10.47173444
10349527	5.371288489
10349529	8.706279537
10349559	8.032709297
10349562	6.354763855
10349569	5.507794387
10349571	5.883722222
10349580	5.702088858
10349593	5.925813921
10349603	4.984707185
10349610	9.395838065
10349634	4.949519339
10349637	6.384374688
10349644	6.06667218
10349648	5.217044472
10349661	7.124121312
10349671	5.722301526
10349694	5.716530859
10349711	9.636752572
10349724	8.245443751
10349733	11.49523925
10349744	7.226288679
10349752	9.866850965
10349761	4.536577336
10349769	5.547922342
10349771	6.892442515
10349773	6.00167796
10349782	6.366306196
10349791	4.153063373
10349793	8.774048955
10349809	8.915055344
10349821	6.41866239
10349826	6.426264755
10349828	8.878846828
10349832	8.988277295
10349834	8.938982326
10349868	9.439012107
10349872	6.874059572
10349876	8.020003186
10349904	6.566730325
10349913	6.955850273
10349922	9.192114501
10349932	6.163691132
10349943	4.154830582
10349945	6.246590427
10349947	10.66400241
10349951	4.985479482
10349953	4.808279805
10349968	6.332260557
10349980	6.849537013
10349993	5.97050536
10349997	5.310974432
10350003	8.643753033
10350015	11.15748097
10350024	7.830897276
10350039	10.46017562
10350044	13.45328285
10350046	10.98557721
10350077	6.127280816
10350090	7.809368073
10350099	6.124432466
10350102	6.820981924
10350113	12.27983602
10350123	8.473116377
10350128	6.141384048
10350136	13.14234307
10350146	10.31276874
10350149	9.378111228
10350159	6.261319924
10350173	11.11659095
10350188	10.57972304
10350197	6.757631822
10350199	6.070018731
10350247	8.798721663
10350286	8.206063293
10350297	8.466567047
10350329	4.626010879
10350331	11.10838809
10350335	9.997519505
10350337	7.328678517
10350339	4.842687448
10350341	8.427322818
10350343	5.541176986
10350349	9.502789328
10350377	9.557463242
10350392	9.18028449
10350425	4.802382565
10350438	7.522493417
10350471	5.491853225
10350473	6.577428828
10350478	11.30498405
10350489	8.918087193
10350502	5.435351062
10350504	8.265699285
10350506	7.381923755
10350516	9.969432816
10350530	4.609809972
10350535	10.54713707
10350590	9.379117315
10350592	6.585485383
10350594	10.93663868
10350614	9.578057698
10350630	10.22746204
10350646	10.33365327
10350668	6.684397647
10350681	4.38197707
10350684	11.58724885
10350689	6.651644582
10350697	9.37224041
10350710	5.126745601
10350723	4.391553004
10350725	6.71967009
10350733	9.68229922
10350742	8.244526721
10350749	6.241644583
10350751	5.622800772
10350753	10.30391645
10350758	6.59029706
10350760	5.858917796
10350766	10.41111499
10350777	9.185996466
10350790	8.017311862
10350792	9.57553868
10350800	9.640387029
10350806	5.125472159
10350816	13.04266485
10350819	11.74818098
10350823	8.752023885
10350838	11.38428223
10350840	9.690742706
10350846	5.131628868
10350848	8.218361596
10350853	9.422288619
10350864	8.354876052
10350894	6.445036455
10350896	9.692526235
10350921	4.27456754
10350923	10.03079292
10350948	7.526412068
10350951	7.167040135
10350975	6.209453561
10350977	7.55350965
10350985	8.060469676
10350990	11.76064095
10350992	10.86366842
10351013	9.527647148
10351015	5.784448153
10351026	10.80482912
10351035	8.120083878
10351037	10.28016039
10351039	6.691680995
10351041	7.758854397
10351043	7.821579356
10351045	5.480634475
10351047	7.645770313
10351056	6.459601453
10351063	8.295722428
10351065	4.673066492
10351095	5.504425743
10351099	4.93751276
10351107	7.611155852
10351111	7.646433209
10351117	5.245983349
10351119	9.990840586
10351131	4.537385285
10351136	4.675220781
10351138	8.153890284
10351140	9.729875784
10351163	9.100705172
10351179	6.982289048
10351182	7.487604441
10351197	5.413147233
10351206	5.75436884
10351224	5.400525292
10351259	8.171621525
10351269	7.360810133
10351277	9.527108759
10351293	10.43568578
10351298	9.677784641
10351304	8.97969113
10351310	5.003267743
10351345	4.645736066
10351347	9.921230116
10351353	5.994753082
10351368	6.684865574
10351380	6.864748748
10351390	10.2484453
10351400	9.374584824
10351404	10.50709353
10351414	9.799668231
10351430	8.565934735
10351443	6.481777801
10351455	12.29292398
10351463	11.47553343
10351465	6.583078404
10351471	6.040865259
10351473	4.332866156
10351477	4.383839744
10351482	5.590744641
