"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sra1",222.301576512492,0.331285111750833,0.202725194849708,1.63415855634734,0.102225562124802,0.168076963974143
"Chd4",2673.86960180418,-0.179901991793557,0.110165368582042,-1.63301765436006,0.102465283697069,0.168439973846872
"Jak1",213.957446619569,-0.353332399956396,0.21645275985348,-1.63237650652074,0.102600195177997,0.168599520950292
"Fam9b",8.80895024338328,-1.9556929365436,1.19806504806155,-1.63237625511893,0.102600248106119,0.168599520950292
"Atpaf1",70.7259547326814,-0.585922759479813,0.359073914980615,-1.63176085768147,0.102729874067877,0.168781350172472
"Stx2",536.40835189088,-0.229586443441708,0.140742853963676,-1.6312476049474,0.102838084093467,0.168927933150764
"Sec61a2",318.445073128855,0.310587419677019,0.190631289185377,1.6292573008568,0.10325856123018,0.169587315757468
"Map3k14",110.248229078299,-0.524979838178144,0.322315293558601,-1.62877731423159,0.103360168817271,0.169722854279052
"Eif3h",58.6125807670435,0.688331506949514,0.423020723967751,1.62718152551313,0.103698550234984,0.170247066138831
"Plekha1",192.869535628928,-0.37738805081803,0.231983662995241,-1.62678718813821,0.103782303607084,0.170353126145971
"Ube2j1",115.028111444787,-0.432880697809835,0.266179727826254,-1.62627222345194,0.103891757955357,0.170481565555148
"Swsap1",59.735345817695,0.619502691962231,0.380942039011971,1.62623871486854,0.103898883291114,0.170481565555148
"Phf2",368.876115481903,-0.300539991770999,0.184830985746595,-1.62602601807818,0.103944120639888,0.170524336608596
"Icoslg",16.7392653506298,-1.37378580010521,0.845511605276228,-1.6247982777911,0.10420554814524,0.170921694772618
"Anapc2",473.538887634963,-0.243699934333286,0.150008326201544,-1.62457605190436,0.104252923342696,0.170967874840206
"Snn",79.3744681246373,0.500055923170717,0.307919135958984,1.62398456209401,0.104379103394545,0.171105268946668
"Klhdc3",255.325987326417,0.323120875044913,0.198974519111302,1.62393092586979,0.104390551381871,0.171105268946668
"Ahrr",122.215514840143,-0.42441080068718,0.261350726739213,-1.62391283920429,0.104394411981289,0.171105268946668
"LOC100362027",161.042738062593,0.455377848351745,0.280535723712356,1.62324370788036,0.104537317801367,0.171307929595277
"l7Rn6",290.993393813293,0.317850951157917,0.19587301347227,1.62273988398568,0.104645021537259,0.171452839671011
"Ube3b",13.3681376162823,-1.5349358761138,0.946078961718146,-1.62241835853347,0.104713800908242,0.17153393353201
"Stx5",227.771335249173,0.306308782047816,0.188825614067143,1.62217813277651,0.104765212413625,0.171586552093389
"Ccdc163",25.6755385020399,-0.908735164735519,0.560456876428454,-1.62141853005086,0.104927909375336,0.171821383264656
"Asna1",395.0752069021,0.275091397945375,0.169744687016202,1.62061860539481,0.105099459523948,0.17207062257786
"Suco",473.88560382075,-0.269215209713793,0.166191715035017,-1.61990752461438,0.105252143232955,0.172288887386296
"Dtx2",95.6365009093329,0.564018770368026,0.348248371333129,1.61958767591333,0.105320878717801,0.172369680992611
"Fam193a",347.257223217056,-0.918584184002165,0.567230589535328,-1.61941933483288,0.105357069520206,0.17239719157142
"Arfgef1",360.00922929832,-0.278862609833532,0.172209298724641,-1.61932376415647,0.105377620170424,0.172399104545876
"Ints9",64.4253341874433,0.750787509446044,0.463975149634684,1.6181631926563,0.105627432848471,0.172746548575862
"Dcaf7",144.309650517836,-0.376319438169898,0.232570474075535,-1.61808776314261,0.105643685275338,0.172746548575862
"Hmgxb3",50.7839098727974,-0.757052498409475,0.467874852951994,-1.61806622782343,0.105648325748825,0.172746548575862
"Vldlr",534.603412591399,-0.245815249843352,0.151927582993785,-1.61797643982401,0.10566767518845,0.172746548575862
"Ift74",310.921326931696,0.312434005501806,0.193172288972657,1.61738522209068,0.105795153647302,0.172923170101572
"Lrrc1",31.3586046036356,-0.830676833333095,0.51424894891477,-1.61532043008759,0.10624132161042,0.173618784687994
"SNORA48",80.966925780427,-0.511845278747221,0.316885912138694,-1.61523519708632,0.106259771089538,0.173618784687994
"Txndc17",378.915530926445,-0.325136088316278,0.201325027695011,-1.61498096902701,0.106314816215847,0.173676820980709
"Fahd2a",114.984892798965,0.431287904699582,0.267122760604037,1.61456816230981,0.106404244740244,0.173790994668467
"Crem",68.5325180657379,0.594793619582165,0.368469572510028,1.61422723599783,0.106478146382445,0.173879770896245
"Rnf220",177.830996324667,-0.35768460730394,0.221796736224476,-1.61266848824112,0.106816550185362,0.174400369658369
"Dpcd",133.871537616729,0.478265758587331,0.296605212360012,1.61246579175697,0.106860618100414,0.1744403006062
"Pid1",531.972614186084,0.243980938963995,0.151368977481794,1.61182920716591,0.106999110604749,0.17460770344858
"Ttyh3",359.205850435055,-0.272015349467738,0.168763489215746,-1.6118139695488,0.107002427374728,0.17460770344858
"Eny2",1811.43781515223,0.173913414154093,0.10791974718741,1.61150687141696,0.10706929074866,0.174679088601814
"Lims1",40.4176192707599,-0.716231639434213,0.444475761508906,-1.61140764347363,0.107090902367151,0.174679088601814
"5S_rRNA",103.682518531498,-0.44870003185842,0.27846947796597,-1.61130776390959,0.107112659397156,0.174679088601814
"Akap6",435.039548970705,0.308445994544441,0.191432452189675,1.61125238180006,0.107124724937931,0.174679088601814
"Armc6",86.2891577608404,0.529810799776649,0.329019659031106,1.61027095261368,0.107338717658803,0.174995948235897
"Disp1",65.7671874076163,0.576921759306109,0.358388771483599,1.60976516345047,0.107449133045866,0.175143858978005
"Cdk7",339.019546836469,-0.271265843220813,0.168555168286834,-1.60935939240496,0.107537779175111,0.175256237772556
"Hacd2",45.9890632868486,-0.710937681050504,0.442048143450727,-1.60828111504047,0.107773624794001,0.175608425085664
"RGD1308923",75.1303674129615,-0.51855398847858,0.322534151209877,-1.6077490911688,0.107890142208212,0.175766083322719
"Nefh",175.311980705741,0.394743881275732,0.245780395455511,1.60608367703268,0.108255525822364,0.176329042700957
"Nap1l3",60.3575543709583,-0.591013003288653,0.368023561983277,-1.60591077403764,0.108293515930743,0.176358627646275
"Poglut1",200.06800436194,-0.397406775354085,0.24751638299838,-1.60557766132469,0.108366736934646,0.176445565629449
"Mtmr10",58.9661232007023,-0.589252680796977,0.367101982486779,-1.60514709510783,0.108461437086406,0.176567438302267
"Pcdhac1",289.404014824655,-0.28853005243476,0.179807553747921,-1.60466035169613,0.108568571879597,0.176682253651997
"Kctd13",58.4844148368024,-0.598147831014179,0.372759950098115,-1.6046461827692,0.108571691788849,0.176682253651997
"LOC502894",64.4878367586931,-0.584895705751484,0.36453224064529,-1.60451022031991,0.108601633477711,0.176698651872002
"Cops6",840.421048080094,-0.198659554713786,0.123922913449384,-1.60308976914853,0.108914836431298,0.177175835782077
"Polrmt",110.519142096916,0.526115724364964,0.328291801585176,1.6025856321254,0.10902616795156,0.177324513426426
"Cdc42bpg",8.93706451954811,1.94725583772933,1.21596483907861,1.60140801374229,0.109286578960383,0.177715561216199
"Arv1",105.630643355897,-0.460332179670364,0.287668289247745,-1.6002187132761,0.109550072169756,0.178111477234506
"Ttc32",64.4188605290569,0.608689369901266,0.380455140656152,1.59989787193173,0.109621241511402,0.178194616820892
"Prpf18",211.079620917488,0.395768980513611,0.24754613116733,1.59876859576565,0.109872029390632,0.178569651275292
"Irf2",82.7296592410056,0.575280449778236,0.359881420406666,1.59852778486916,0.109925566904207,0.178624025870099
"AABR07065406.1",39.5233585990534,0.736566661378567,0.461172708842895,1.5971601251658,0.11023001859648,0.179086030212911
"Alg8",55.7555700576342,-0.639230166085706,0.400765958077113,-1.59502111694504,0.110707513678009,0.179828950724231
"Cpa6",15.6006705972034,-1.22004221678429,0.765821584205413,-1.59311547486633,0.111134288401556,0.180489226827065
"Rfx3",26.4899949165223,-0.892015036427778,0.559971442597099,-1.59296522745997,0.111167991951778,0.180511005551491
"Slc25a37",15.0918494142758,1.23981304479988,0.778361178931608,1.59285056649622,0.111193718166415,0.180517516130299
"Cdip1",180.701598417679,0.369872902840544,0.232220422873413,1.59276646844351,0.111212590038678,0.180517516130299
"Gkap1",355.81262679575,0.253447064955345,0.159373739384181,1.59026867245922,0.111774256940644,0.181396098428577
"Ogg1",80.4087478602706,-0.48305957165724,0.30380462438971,-1.59003363634646,0.111827223326204,0.181448951383909
"Zfp9",23.8556003843599,-0.924804846274331,0.581752044802013,-1.5896890342501,0.111904916665451,0.181541899277619
