"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Cmpk1",7.491262,7.690827,7.704695,7.607372,7.280015,7.685487,8.339474,8.421525,8.049793,8.474279,8.201684,8.28701,7.53187,7.763715,7.741178
"Stil",6.912474,7.001121,7.177492,5.296179,4.672779,5.349758,5.935499,5.369279,5.115124,5.40779,5.770189,6.056781,2.619132,2.617003,4.009431
"Tal1",0.9625462,0.8977288,0.8235949,1.037397,1.010987,1.013921,5.969262,4.446437,4.921546,3.176962,3.648129,3.724738,6.154579,5.84434,7.000213
"Cyp4a2",-1.184981,-1.216122,-1.25145,-1.148705,-1.161544,-1.16012,-1.193791,-1.179986,-1.203241,-1.184695,-1.186898,-1.211452,-0.907812,6.411096,-0.9336602
"Cyp4b1",0.6093733,0.5484516,0.9372438,0.6795172,0.6547943,0.6575429,2.87349,1.783734,3.084678,2.249373,1.765945,2.821353,7.068559,6.681833,6.614649
"Efcab14",7.866632,8.07055,7.917698,7.774261,7.886065,7.934807,8.511056,8.126976,8.082729,8.354804,8.458461,7.931107,8.885621,9.191075,9.045314
"Atpaf1",6.234234,6.639019,5.721727,5.890797,5.548902,5.581152,6.235032,5.889679,6.738082,6.509202,6.349533,6.610628,8.185564,8.221597,7.881144
"Mknk1",4.922448,5.342336,5.661828,6.199578,6.172764,5.448147,6.223596,5.465264,5.301652,6.093266,6.050972,6.236985,7.583576,7.405837,7.573825
"Uqcrh",9.868954,9.984874,9.746059,11.53277,11.27772,11.30306,11.16613,11.45112,11.35835,11.2944,11.16455,11.32241,13.1667,13.10076,13.15302
"Lrrc41",7.5106,7.672853,7.332941,6.584615,6.697304,6.899274,7.60452,7.285805,7.546909,7.059447,7.366342,7.363531,6.374282,6.825358,7.369265
"Rad54l",6.605878,6.329064,5.863117,4.140249,3.147665,4.172102,4.459228,4.683046,4.567165,5.489386,4.480741,4.815212,3.874078,3.54093,4.182666
"Pomgnt1",8.411899,8.434521,8.580336,8.191688,7.957444,8.081366,7.56938,7.387464,7.566617,7.363241,7.206602,7.468149,6.611497,6.633854,7.011742
"Pik3r3",5.764975,3.872922,4.965359,5.843608,5.841682,5.846346,5.426879,5.590779,5.180691,5.05221,5.398545,4.747087,5.291725,5.590124,5.030295
"Mast2",6.400031,6.04225,6.529865,6.170283,6.423537,6.093268,6.664315,7.188131,7.012947,6.949296,6.688475,6.874485,7.746299,8.021142,7.553139
"Tmem69",6.382915,6.230185,6.091918,7.033429,7.05612,7.003268,6.43616,6.589133,6.801943,6.096273,6.239814,6.185621,7.828234,7.717782,7.837206
"Gpbp1l1",5.264439,6.013207,5.348332,5.960088,6.939402,6.489629,6.836596,7.108904,7.402325,5.553294,6.278113,6.555988,7.839174,7.794851,7.768718
"Ccdc17",4.316275,5.244425,3.953453,4.37057,3.712241,4.441768,4.341295,4.479347,5.260642,4.263701,4.67276,3.734089,5.439529,4.692897,5.0138
"Nasp",9.776276,9.443015,9.704401,8.637274,8.587286,8.496757,9.545169,9.841134,9.636859,9.296457,9.334738,9.201262,7.783237,7.912218,7.853173
"Akr1a1",10.14353,10.50774,10.38507,10.33835,10.40289,10.33822,10.19784,10.36737,10.54052,10.59945,10.57614,10.66265,9.925466,9.932803,10.12282
