"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Rexo2",11.2109039664677,11.1271158851675,11.2023886463147,11.0456302642312,11.0710228871561,11.0806078711192,10.380775015783,10.8140733596685,10.6364648693345,10.9917564201926,11.024008279622,11.0758270441193,10.5227186379751,10.7788637107025,10.498170808023
"Rbm7",8.01096335295764,8.09855901997133,8.08381486763269,8.16822387937009,8.07845827567299,8.09415348312068,8.3214041736001,8.23957767890422,8.14869285017645,8.28769743357427,8.2636764297078,8.23275040146236,8.29129915800388,8.17715772774319,8.35565811411357
"RGD1563941",8.04689846001697,8.06769961900269,8.01916772256817,8.26770028527983,8.24555349536899,8.32556419472126,8.2001304345699,8.3793177742507,8.25343974730755,8.36792062022332,8.25290955300018,8.41590479153873,8.71594557950132,8.57300269010029,8.86464077539192
"Nnmt",7.70411438882957,7.9879679036216,7.83692527471703,7.91221678207425,7.99542269216387,8.10807851336775,7.88308275068626,7.71954590275068,7.70516536248877,8.12705123523434,8.2636764297078,8.28821146381826,7.4979066599579,7.66855410599775,7.77125919963677
"Zbtb16",7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.58637592518876,7.47360174282426,7.41221600559999,7.22585427624224,7.22585427624224,7.22585427624224,8.54201331209466,8.68616853558807,8.92075274772736
"Usp28",8.48927509706813,8.04207556092945,8.29593190078556,9.26661145130106,9.04686311604777,9.27368607891252,8.62447163712234,8.76342845610968,8.77599617713724,8.52312362889804,8.77717787976045,8.76727788466547,9.82403236381125,9.81304464606243,9.59174830758684
"Zw10",8.15163793726846,7.90588929875081,8.15381811947269,8.0701447567585,8.16623348425402,8.05819983122467,8.15957649162317,8.11302708180093,7.94079402679302,8.22250041850505,8.07241391320285,8.10364841638926,7.92254249884896,7.7442121677031,7.68048239323133
"Ncam1",11.6871529184594,11.3662586411388,11.8716144027901,10.3417701098166,10.2561147937038,10.3454563006471,8.37414916385579,8.31468316558047,8.65476815096408,8.94993516715542,8.89986969070377,8.99736901897892,7.66902797557822,8.18915379776865,8.21570895421102
"Pts",8.03273592337878,7.72017494075135,7.93438963124628,7.92150617035556,8.01124095147819,7.6930057858334,7.46926206041968,7.77715494461612,7.71689034527844,7.77387300036752,7.93956173719298,7.95617797622689,7.74476542756705,7.6951805204225,7.56533412889974
"Il18",7.22585427624224,7.22585427624224,7.22585427624224,7.53080603350341,7.47951943247308,7.45321195900756,7.78857995410268,7.92071540750491,7.75043673926224,7.87275128376946,7.88882123686423,7.93344807492304,7.61002866707453,7.66855410599775,7.86619003578666
"Sdhd",8.94374119802563,8.71213410262241,8.5243132866931,9.35873182658749,9.31126824032246,9.32121651365753,9.14124811598889,9.42842272694104,9.27016694895714,9.47040381278924,9.1678675685684,9.34486674571844,11.1587890837474,10.8151175458164,11.1620011131416
"Timm8b",9.3095918601652,9.22474633251352,9.0554846627016,9.8872842541975,9.83339269149253,9.81741827958059,10.229703807197,10.0408538923495,10.0514503370969,10.0412798228324,9.85277014136982,10.015895810793,11.4048028131234,11.4311570192132,11.5650341421909
"LOC100151767",9.49368696404832,9.29734365237641,9.46668594725441,9.61265122831865,9.59857544228931,9.53022147614612,9.10068918543381,9.50584309048453,9.71366246427563,9.54635398486997,9.47250590294643,9.54818822070795,9.2428413075813,8.99243519413642,9.00026537220984
"Pih1d2",7.716421904347,8.13404919303765,7.71928175954475,7.95739668808425,7.47951943247308,7.74453741281812,7.58637592518876,7.68134537815837,7.72833158721318,7.69163870882227,7.67735575388882,7.79588692982584,7.78942576549556,7.76700040191576,7.59756538387019
"Dlat",8.57866092692161,8.45074457246232,8.57163919529885,8.77877513063401,8.61706819529148,8.79964213695954,8.72876446356572,8.71923686127722,8.49445821885764,8.59459110458667,8.66856374679078,8.52878634076833,10.0115382947037,9.88715610902675,9.94060574359526
"Dixdc1",8.01829396152379,7.88157706496364,7.77686067726822,7.91221678207425,8.07845827567299,7.90241669723852,8.16549228735386,8.07291218256544,8.10028410838974,8.02583662591655,8.09893644041139,8.04027047623331,7.72085631589063,7.66855410599775,7.68048239323133
"LOC689959",8.22776906690011,8.05499724677395,8.12227312671424,7.78800397390688,7.63404126909734,7.6930057858334,8.62447163712234,8.58676852864425,8.78835388437675,8.52722491513648,8.55197977453915,8.59888534235958,8.45642154282243,8.34177113219012,8.35565811411357
"Cryab",11.5619485457558,11.6969769939698,11.4176936666484,11.8343753503515,11.8723119351895,11.7817861790429,12.6444937989523,12.8400765155125,12.8746301190339,13.2664301719405,13.1995869115776,13.3004758442948,15.5487384447712,15.7145769449127,15.5758092142673
"Alg9",8.45033426776934,8.22696594283153,8.39931883773719,8.07757197248167,8.12691842354075,7.972339747526,8.38343117581653,8.34007247614253,8.30389518083372,8.50236863050191,8.47356647088861,8.45769037265652,7.95585499248154,7.7442121677031,7.79159240965684
"Ppp2r1b",8.66826977165825,8.71213410262241,8.75374692828033,8.09221394552364,8.17260636274694,8.04332546229122,8.78696455465368,8.69823875282028,8.93266001516295,8.62859655269359,8.57555965723427,8.62358727520203,7.72085631589063,7.93865508605235,7.68048239323133
"Sik2",8.1203822723018,8.15122105111675,8.31754545193411,8.0159809661383,7.95423255531293,7.89312007991296,8.29131942390942,8.00843872280789,8.29402741613588,8.13960462723576,8.19698887405842,8.12761445706033,8.16596530737177,8.37139705000957,8.25797096629694
