"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cops7b",72.7053239468434,-0.0954189297415954,0.356608937376524,-0.267573018342072,0.789028002104562,0.894562187194733
"Ggct",65.1914330097844,0.0963332776910633,0.361548635773553,0.266446248607613,0.789895550850874,0.895443494489011
"Mbtps2",51.3737721119838,0.101119769035085,0.379762424441155,0.266271127755437,0.790030407383252,0.895494098856476
"Cdc42ep4",272.875265297188,0.0400464550453185,0.150638657086476,0.26584447724019,0.790358987428049,0.895764250880431
"Fam73b",137.143791866388,-0.0608955547153758,0.229221663016342,-0.265662302218941,0.790499298807834,0.895787470112397
"Klhl31",553.394325307029,0.0701553481950666,0.264155487733724,0.265583534898147,0.790559967578541,0.895787470112397
"Fyttd1",135.028002279681,-0.0615678948841491,0.233031457634433,-0.26420422164948,0.791622558211389,0.896769220260472
"Parg",249.968226100694,0.0417976140455577,0.158274731654884,0.264082672000334,0.791716215811572,0.896769220260472
"Spg20",457.393107868462,0.0420164002992904,0.159182609072007,0.263950946301452,0.791817717753503,0.896769220260472
"Evi5",327.945346305993,-0.0467386156751798,0.177096333254674,-0.263916337601225,0.791844386258093,0.896769220260472
"Cbx1",488.347052084164,0.0384974879086624,0.145894244415225,0.26387256099765,0.791878119643667,0.896769220260472
"Epb41l4b",62.2776736264721,-0.0832856814238285,0.316730765842419,-0.262954188243478,0.792585889281309,0.897446717068468
"Ndufc1",126.48211771619,-0.0842543864656561,0.320527470960493,-0.262861670524462,0.792657200134925,0.897446717068468
"Smad1",250.907661830579,0.0471060735620514,0.179305918993932,0.262713433144644,0.792771462231736,0.897473715113162
"Hey2",31.4479092623327,-0.136079735534213,0.51825719138778,-0.262571823016717,0.792880620166372,0.897494836776809
"Hars",299.155308778006,-0.0342075591281058,0.130337036436229,-0.262454633490479,0.792970956934577,0.897494836776809
"Shroom3",208.346368878899,-0.0606743899789316,0.231314663762969,-0.26230239359622,0.793088316793611,0.897525325788779
"Oaz1",282.590020047344,-0.0573506551761357,0.218813190738456,-0.262098710697409,0.793245340760315,0.897561571523143
"Fem1b",44.1264923569446,0.119051654765104,0.454427489261645,0.261981630905602,0.793335604137048,0.897561571523143
