"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AABR07034940.2",25.5312686637686,0.323169160577937,0.852287429595004,0.37917860730564,0.704555236419654,0.8039332425223
"AABR07054045.1",33.9068606025314,0.165074549349371,0.435809822151111,0.378776569409521,0.704853788081234,0.804181459826935
"Traf5",25.1501399211488,-0.180329246801461,0.476339232134337,-0.378573156767833,0.705004858783394,0.804261375506719
"Ppil3",139.566437324215,0.100342486641402,0.265421814051352,0.378049132849301,0.705394094963328,0.804612938014938
"Afap1l2",28.110201623409,0.171257750485944,0.453477266801831,0.377654544170972,0.705687239720127,0.804854824941053
"Rab28",267.496330837402,0.0787656519755895,0.208701073258917,0.377408945462738,0.705869720065868,0.804970455121072
"Ubac2",177.938097185715,-0.0806279284737494,0.213937590755698,-0.37687592998007,0.706265809844763,0.805254038778168
"Gripap1",263.097856633678,0.0544313593016955,0.144435443375068,0.376855971289186,0.706280642917865,0.805254038778168
"Rpap1",49.2405792328065,0.14316114125735,0.380644478791015,0.376101977656557,0.706841084123707,0.805800459516701
"RGD1562114",122.020136175568,0.0753325569679766,0.20072835092109,0.375296048726027,0.707440304425396,0.806390957938273
"Tnfsf13",27.7685030975871,0.318839255592284,0.850239410554428,0.374999384449109,0.707660924446074,0.806549814680414
"Jmjd8",100.831390267705,0.109550984364986,0.292243261044654,0.374862311532471,0.707762869613936,0.806573391938913
"Xrcc6",202.077326613568,0.0593627096732503,0.15849691187525,0.374535433977248,0.708005999223253,0.806757840464931
"Usf2",280.130340394657,-0.0709116676896139,0.189923156681288,-0.373370308964544,0.708872854371936,0.807633415662233
"Mrpl28",52.9416756930402,0.141439476403961,0.378987704010434,0.373203338544374,0.708997111594424,0.807633415662233
"Gatm",59.452278222841,-0.144467524746642,0.387131178513927,-0.373174605313907,0.70901849527309,0.807633415662233
"Cd200",108.798253835064,0.106064779126501,0.284546992477437,0.372749605269192,0.709334813118831,0.807846311710047
"Herpud2",32.1561980098758,0.172374895270189,0.462497126677824,0.372704791721366,0.709368169742572,0.807846311710047
"Kansl3",346.458374095911,-0.0692967172461533,0.185993286846788,-0.372576443058595,0.709463708176931,0.807862425991077
"Chd1l",36.6903025597998,-0.187124597587514,0.502902337594001,-0.372089337430326,0.709826334809188,0.808182633553108
"Il18bp",58.9778436259755,0.130629418937173,0.351538730396101,0.371593248886076,0.710195716348711,0.80851045767603
"Jdp2",34.7161590589364,0.165316242083158,0.445356623011001,0.371199693776811,0.710488801175793,0.80875135785217
"Hif1a",370.914447985881,-0.0829147225612693,0.224020222967744,-0.370121596447156,0.711291891333149,0.80948421021717
"Zmynd11",811.833365506161,0.0370633509480824,0.100152990189754,0.370067342750931,0.711332314166704,0.80948421021717
"Plekha8",108.487790851491,-0.104811585459666,0.2832691896034,-0.370007008550458,0.711377268358289,0.80948421021717
"Fam120b",109.274126622329,-0.087158359636192,0.236545989757793,-0.36846263902185,0.712528298295273,0.810701041824723
"Asb7",80.0184893145534,-0.100618442937646,0.273207032202621,-0.368286431452554,0.712659668774614,0.810702264158408
"Sh2b3",132.976951573655,0.098336338949292,0.267042630906782,0.368242099081247,0.712692721846289,0.810702264158408
"Tstd3",91.670007839921,0.101284866052995,0.275566254529449,0.367551775256179,0.713207479055558,0.811194847840663
"Pycrl",253.404215960164,0.0566867074129327,0.154824137088735,0.366136110808378,0.714263513002102,0.812246655342582
"H6pd",30.8410520684305,-0.161856581142588,0.442119101343823,-0.366092712689011,0.714295895072073,0.812246655342582
"Rsbn1",158.746902722095,-0.0775029743682869,0.211782552719553,-0.365955426323141,0.714398336463393,0.812270090233177
"SNORA30",12.1709548742884,-0.654762565861609,1.791338769739,-0.365515767828219,0.714726438830504,0.812477266107786
"Ptgs1",40.0125086364314,0.187832769587187,0.513917743331344,0.365491894421873,0.714744256261655,0.812477266107786
"Kdm4c",35.6286663821964,0.217796732892801,0.597674679239449,0.364406826084637,0.715554238917319,0.813304863791745
"Pi4k2b",75.140132265985,-0.106645002878703,0.293942096781177,-0.362809560272323,0.716747149747577,0.814567461460322
"Col12a1",352.859852555942,0.0685433821273799,0.189267062512765,0.36215166663115,0.717238695888442,0.815032775659837
"Wsb1",207.65574366054,-0.0726164957461513,0.200974468815558,-0.361321993654797,0.717858754168703,0.815644001130786
"Kpna6",38.9948283718876,-0.146811726449483,0.406832957084387,-0.360864880519084,0.718200458326364,0.815938851934014
"Nudcd1",68.3469784510889,-0.106331222354411,0.294819111805772,-0.360665974818018,0.718349163202908,0.816014396195018
"Fam13b",362.788885679365,0.0563756745954364,0.156626002862395,0.359938155639238,0.718893382603572,0.816475324850445
"Armc9",92.0657748682715,0.0966203176138192,0.268477070160204,0.359882941050289,0.718934674573849,0.816475324850445
"Ahi1",109.575802071714,-0.092169312825174,0.256213362557627,-0.359736556692836,0.719044151397062,0.816475324850445
"Taf7",149.052568358765,-0.078900997293438,0.219362388967295,-0.359683342549672,0.719083950215856,0.816475324850445
"Mrpl51",284.815711344153,-0.0632655402958934,0.17598912626132,-0.359485507087255,0.719231917893258,0.816549927600192
"Zfp142",72.9101909637367,0.100167391829913,0.278819746519457,0.359255013607591,0.719404324853089,0.816652256231903
"Myo18a",538.230481534761,-0.0616374466625748,0.171852733855519,-0.358664335909809,0.719846211382648,0.817060433868972
"Ddx25",17.3101009648102,0.208495485519677,0.581749035954654,0.358394208900638,0.720048324853757,0.817196395209055
"Slc38a7",189.899947153395,-0.0767861049115612,0.214433771516621,-0.358087741350057,0.72027765260873,0.817323187981647
"Foxj2",38.5538698261696,0.175963360483176,0.4914836711633,0.358024835426752,0.720324727832304,0.817323187981647
"Dclre1a",145.14962293296,-0.0964418872755683,0.269987283589082,-0.35720899885919,0.720935349608648,0.817922537457474
"LOC100911293",26.8639204373743,-0.171232468659266,0.480225564832087,-0.356566749458951,0.721416173396298,0.818374507100761
"Xrcc1",207.307767242373,-0.0691560808839046,0.194259887609248,-0.355997739600321,0.721842257978746,0.818687678452698
"Cdc42ep3",696.280841726408,-0.0624046741651885,0.175304966272413,-0.355977788263087,0.721857199457789,0.818687678452698
"Tmem179",87.5797364866549,-0.736996170394854,2.07368919690573,-0.355403390003944,0.722287409571008,0.819082009299877
"Cebpa",37.0597496627492,0.360845322252218,1.01786691482578,0.354511299067013,0.722955737747299,0.819746247758704
"Ceacam9",77.507595950328,0.154016130411641,0.436979660929854,0.352456061876904,0.724496264491193,0.821399191472253
"Hnrnpc",82.3909780746607,0.0981192016657622,0.279006989910648,0.351672915783166,0.725083574722587,0.821971169791732
"AC093965.1",30.6696534271741,0.173476828278808,0.494190390608704,0.351032378563924,0.72556405756517,0.822412441836226
"Cybrd1",94.794454398959,-0.121246845365149,0.345498463515705,-0.350933095711544,0.725638541769259,0.822412441836226
"ST7",78.8137484271019,-0.0885801708602558,0.252502699286499,-0.350808807630802,0.725731789109692,0.82242421951168
"Prmt6",24.2004203248126,0.188214305839612,0.538474710613374,0.349532303244508,0.726689723751156,0.823415776022143
"Zdhhc16",98.3593177087081,-0.0763087152381776,0.21847090278715,-0.349285484998994,0.726874994372656,0.823445403452951
"Slc39a11",89.3387601894793,0.0843904853457671,0.241615170181584,0.349276435260022,0.726881787734712,0.823445403452951
"Sema4a",22.657106632804,0.199570352874645,0.57277363265786,0.348427967866768,0.727518801552292,0.824072991465029
"Has2",60.5799665620083,-0.153966862741224,0.442237922086562,-0.348153912298563,0.727724597728816,0.824212044392541
"Ccdc77",113.019159388072,-0.0847370985350397,0.243906922981077,-0.34741571702585,0.728279027349891,0.824745878548205
"Rab11fip1",63.7129499588291,-0.122288751027826,0.352384007944848,-0.347032635621096,0.728566800886418,0.824977648368535
"Cebpz",836.199016484662,-0.0442436109184349,0.127658615338734,-0.346577556093942,0.728908709654383,0.82526735580988
"Tmcc2",77.0617230479494,-0.109746675163068,0.316755927592483,-0.346470785873535,0.72898893569827,0.82526735580988
"Thumpd3",87.694055544419,0.129541745614456,0.374073124043064,0.346300595494112,0.729116821131771,0.825318002800086
"Nudt16",52.4175713371813,-0.157665622948299,0.455491286562523,-0.346144103300332,0.729234420047753,0.825356995825997
"Pex1",86.8264420273132,-0.0855164183953875,0.247240976044435,-0.34588287007902,0.729430742712614,0.825485070364315
"Map2k4",26.0446931259233,-0.179361666200417,0.519032246565683,-0.345569408042009,0.729666339925255,0.825657557010725
"Zbtb7a",402.195767421669,-0.0511024052967181,0.148040952863845,-0.345191004976289,0.729950780637068,0.825885267138212
"Inpp5e",46.6773527946869,-0.13936691620058,0.404249242048544,-0.344754922716329,0.730278624137821,0.826162026805563
"Zfp407",76.3643270219951,0.108025940302793,0.313760038689744,0.344294769830815,0.730624617208807,0.826459253608504
"Ciz1",91.3961115379119,0.0931904797335604,0.270888425845386,0.344017945553534,0.730832790272786,0.826600532844995
"Tns1",41.3225551851598,-0.142602810101077,0.414956602814572,-0.343657165915253,0.731104127889027,0.826813213333312
"RGD1310852",17.6923353956262,0.319245941923735,0.930446733487241,0.343110390346824,0.731515414717125,0.827012628781276
"Ctnna1",342.867492054215,-0.0570804730501022,0.166367451338575,-0.343098800822148,0.731524133240716,0.827012628781276
"Dsel",42.1526429688343,0.14722428961333,0.429112172385649,0.343090453004018,0.731530413127101,0.827012628781276
"Slc25a15",258.172886185463,-0.081684620062183,0.238244559358912,-0.342860379611551,0.731703499534236,0.8271141027647
"Kif3b",200.315557179703,-0.0623803336939641,0.182880838236853,-0.341098248976604,0.733029619384272,0.828518788659563
"Pacsin2",342.764783459659,-0.0562370596788039,0.16501801113271,-0.34079346425753,0.733259071025489,0.828683768530001
"Mrpl39",284.026862274838,0.0768452567401287,0.22559393650827,0.34063529334846,0.733378156517312,0.828723996082746
"Stx4",143.599096001219,0.0834249102302275,0.24527514016659,0.340127866907203,0.733760236736678,0.829061367085745
"RGD1310352",319.34963188146,0.0633236063277125,0.186262766073302,0.33996921479622,0.733879711595787,0.829101982392418
"Polg",29.0022010488638,-0.167808916925418,0.494113906403188,-0.339615855273033,0.73414583634404,0.829308247587452
"Rbsn",97.4719080521064,-0.0823105717560329,0.242609457463147,-0.339271900678216,0.734404908657867,0.829506500152251
"Psmc4",404.693501652333,0.0421158091195379,0.124435134090044,0.338455930694476,0.735019631692253,0.830106367525009
"Hsf1",67.547716841172,-0.0898541347689576,0.266249867145143,-0.33748048677889,0.735754719547192,0.830842018910742
"Nudt18",64.3941303997403,0.124324201160899,0.369207841627182,0.336732287735206,0.736318721273472,0.831384327990045
"Alg5",130.818563431873,0.0887767980878568,0.263763365398941,0.336577439226946,0.736435465760001,0.831421568827771
"Psmb2",586.343295599196,-0.0544540615322637,0.162322477565836,-0.335468398147002,0.737271779583784,0.832271088837558
"Kpna3",265.699275701034,-0.05822458560154,0.173726836346477,-0.33515020952444,0.737511779083456,0.832447341276141
"Rab27a",39.5818981640185,0.160136962628032,0.478586931227035,0.334603709753339,0.737924046099256,0.832817974028564
